,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
0,SIDE VIEW,0.0,0.0,0.0,0.529,0.0,5.0,visual
1,BRIGHTNESS,0.235,0.235,0.176,0.824,0.176,5.0,visual
2,BAR CODE,0.176,0.0,0.529,0.0,0.0,5.0,visual
3,SEE,0.056,0.0,0.0,0.333,0.0,5.0,visual
4,PRETTY,0.8,0.1,0.15,1.1,0.6,5.0,visual
5,SEEING,0.294,0.118,0.118,0.824,0.176,5.0,visual
6,WIKIPEDIA,0.526,0.0,0.421,0.0,0.0,5.0,visual
7,COLORS,0.706,0.412,0.412,0.765,0.412,5.0,visual
8,IN SIGHT,0.5,0.0,0.167,0.167,0.056,5.0,visual
9,SIGHT,0.053,0.0,0.158,1.158,0.0,5.0,visual
10,YOUTUBE,3.533,0.0,0.067,0.867,0.0,5.0,visual
11,FACE,0.25,0.35,3.1,0.45,0.3,4.95,visual
12,TV,4.5,0.0,0.65,0.3,0.0,4.95,visual
13,VIEW,0.1,0.0,0.05,0.35,0.05,4.95,visual
14,INTERNET SITE,2.474,0.368,0.474,0.579,0.263,4.947,visual
15,SKIES,0.263,0.0,0.158,0.316,0.632,4.947,visual
16,DAYTIME,1.526,0.211,0.316,1.158,0.789,4.947,visual
17,PICTURES,0.263,0.053,2.368,0.158,0.105,4.947,visual
18,WAR MEMORIAL,1.111,0.0,2.611,0.778,0.056,4.944,visual
19,BUS DRIVER,2.722,0.0,1.278,0.0,1.056,4.944,visual
20,COLOR,0.25,0.0,0.139,0.417,0.0,4.944,visual
21,FOOTBALL GAME,4.0,0.471,1.235,0.882,1.0,4.941,visual
22,FENCE LINE,0.412,0.059,2.353,0.0,0.0,4.941,visual
23,VISIBLE,0.118,0.0,0.353,0.294,0.0,4.941,visual
24,LONGHAIRED,0.059,0.0,2.412,0.059,0.235,4.941,visual
25,COLORFUL,0.438,0.062,0.0,0.312,0.062,4.938,visual
26,VAN,2.75,0.062,2.188,0.562,0.812,4.938,visual
27,EXTERIOR,0.333,0.067,2.067,0.267,0.333,4.933,visual
28,CREATURE,3.733,0.8,3.467,0.933,2.133,4.933,visual
29,BIOLUMINESCENCE,0.133,0.0,0.0,0.133,0.133,4.933,visual
30,OUTDOORS,3.0,0.357,2.429,1.571,3.071,4.929,visual
31,IMAGE,0.136,0.0,0.955,0.318,0.0,4.909,visual
32,CHARTREUSE,0.0,0.455,0.455,0.182,0.364,4.909,visual
33,CLOUD,0.0,0.0,0.35,0.05,0.15,4.9,visual
34,CARTOON,3.75,0.0,0.05,0.3,0.0,4.9,visual
35,WEB SITE,1.25,0.0,0.15,0.15,0.0,4.9,visual
36,BALLERINA,0.737,0.0,0.684,0.105,0.105,4.895,visual
37,PORTRAIT,0.333,0.0,1.111,0.278,0.056,4.889,visual
38,CHOREOGRAPHY,1.056,0.0,0.556,0.778,0.0,4.889,visual
39,EYE CONTACT,0.0,0.0,0.111,0.722,0.0,4.889,visual
40,SUNGLASSES,0.222,0.056,2.889,0.333,0.111,4.889,visual
41,CATERPILLAR,0.222,0.056,2.444,0.056,0.0,4.889,visual
42,SNOWY,0.833,0.444,3.333,0.444,0.556,4.889,visual
43,BEAUTY,1.833,0.278,1.278,1.444,0.444,4.889,visual
44,MULTICOLOR,0.706,0.353,0.294,0.471,0.294,4.882,visual
